CurrencyIsoCode,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__SourceLookupField__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c,Description__c,SBQQ__SourceVariable__c,Errors,Id
EUR,a0c5E0000020LYTQA2,SalesListPriceRounding__c,,50,Rounding__c,Quote Line,,0,,,,a0a5E000004m1ZiQAI
EUR,a0c5E0000020LYSQA2,SalesListPriceRounding__c,,50,Rounding__c,Quote Line,,0,,,,a0a5E000004m1ZjQAI
EUR,a0c5E0000020LYOQA2,TF_KeyOpportunity__c,,50,Key_Opportunity__c,Quote Line,,0,,,,a0a5E000004m1ZkQAI
EUR,a0c5E0000020LYXQA2,SBQQ__Status__c,,50,,Quote,,Accepted,,,,a0a5E000004m1ZlQAI
EUR,a0c5E0000020LYKQA2,TF_PreviousDateTo__c,null,50,,Quote Line,,,,,,a0a5E000004m1ZmQAI
EUR,a0c5E0000020LYAQA2,ProductDisplayPriceRule__c,"CASE(SBQQ__Quote__r.ImcdCompany__c, '55100', SBQQ__ProductName__c +"" ""+""(""+ SBQQ__Product__r.FullSegmentsNumber__c +"")"",
'55200', SBQQ__ProductName__c +"" ""+""(""+ SBQQ__Product__r.FullSegmentsNumber__c +"")"",
'55400', SBQQ__ProductName__c +"" ""+""(""+ SBQQ__Product__r.FullSegmentsNumber__c +"")"",
'55500', SBQQ__ProductName__c +"" ""+""(""+ SBQQ__Product__r.FullSegmentsNumber__c +"")"",
'56100', SBQQ__ProductName__c +"" ""+""(""+ SBQQ__Product__r.FullSegmentsNumber__c +"")"",
'71100', SBQQ__ProductName__c +"" ""+""(""+ SBQQ__Product__r.FullSegmentsNumber__c+"")""+"" ""+ TEXT(SBQQ__Product__r.CountryofOrigin__c),
'71200', SBQQ__ProductName__c +"" ""+""(""+ SBQQ__Product__r.FullSegmentsNumber__c +"")""+"" ""+ TEXT(SBQQ__Product__r.CountryofOrigin__c),
'71300', SBQQ__ProductName__c +"" ""+""(""+ SBQQ__Product__r.FullSegmentsNumber__c+"")""+"" ""+ TEXT(SBQQ__Product__r.CountryofOrigin__c),
'74300', SBQQ__ProductName__c +"" ""+""(""+SBQQ__Product__r.FullSegmentsNumber__c +"")""+"" ""+ TEXT(SBQQ__Product__r.CountryofOrigin__c),
SBQQ__ProductName__c +"" ""+""(""+SBQQ__Product__r.Item__c+"")"" )",50,,Quote Line,,,,,,a0a5E000004m1ZnQAI
EUR,a0c5E0000020LYDQA2,PriceValidityStart__c,"if (ISBLANK(PriceValidityStart__c) = false , PriceValidityStart__c,
if (ISBLANK( SBQQ__Quote__r.PriceValidityFrom__c) = true, null, SBQQ__Quote__r.PriceValidityFrom__c))",55,,Quote Line,,0,,,,a0a5E000004m1ZoQAI
EUR,a0c5E0000020LYRQA2,SalesListPriceUOMread__c,null,55,,Quote Line,,0,,,,a0a5E000004m1ZpQAI
EUR,a0c5E0000020LYOQA2,KeyOpportunity__c,"if (ISBLANK(TF_Stage__c) = true,  	
TF_KeyOpportunity__c, KeyOpportunity__c)",55,,Quote Line,,,,,,a0a5E000004m1ZqQAI
EUR,a0c5E0000020LYSQA2,SalesListPriceUOMread__c,,60,BaseUOM__c,Quote Line,,,,,,a0a5E000004m1ZrQAI
EUR,a0c5E0000020LYRQA2,SalesListPriceMargin__c,null,60,,Quote Line,,,,,,a0a5E000004m1ZsQAI
EUR,a0c5E0000020LYPQA2,Opportunity__c,,60,Id,Quote Line,,,,,,a0a5E000004m1ZtQAI
EUR,a0c5E0000020LYDQA2,MarkUp1__c,"IF (BLANKVALUE(PricingSystem__c, '')  = BLANKVALUE(SalesListPricePriceSystem__c, ''), MarkUp1__c, null)",60,,Quote Line,,,,,,a0a5E000004m1ZuQAI
EUR,a0c5E0000020LYDQA2,SalesListPricePriceSystem__c,PricingSystem__c,65,,Quote Line,,,,,,a0a5E000004m1ZvQAI
EUR,a0c5E0000020LYRQA2,MarkUp1__c,"IF (BLANKVALUE(TEXT(PricingSystem__c), '' ) = 'List' , 0, BLANKVALUE(MarkUp1__c,0))",66,,Quote Line,,,,,,a0a5E000004m1ZwQAI
EUR,a0c5E0000020LYXQA2,SalesListPriceVal__c,,25,PriceEUR__c,Quote Line,,,,,,a0a5E000004m1ZxQAI
EUR,a0c5E0000020LYVQA2,SalesListPriceVal__c,,25,PriceEUR__c,Quote Line,,,,,,a0a5E000004m1ZyQAI
EUR,a0c5E0000020LYUQA2,SalesListPriceVal__c,,25,PriceEUR__c,Quote Line,,,,,,a0a5E000004m1ZzQAI
EUR,a0c5E0000020LYTQA2,SalesListPriceCostVal1__c,,30,TotCost__c,Quote Line,,0,,,,a0a5E000004m1a0QAA
EUR,a0c5E0000020LYQQA2,TF_NetListPrice__c,"IF (BLANKVALUE(SBQQ__ListPrice__c, 0) = 0,  BLANKVALUE(ManualPurchasePrice__c, 0) , BLANKVALUE( SBQQ__ListPrice__c, 0))",30,,Quote Line,,0,,,,a0a5E000004m1a1QAA
EUR,a0c5E0000020LYZQA2,Quant__c,"IF (BLANKVALUE(SearchSLPMarginQuantity__c, 0) = BLANKVALUE(SalesListPriceLower__c, 0), BLANKVALUE(SalesListPriceLower__c, 1), BLANKVALUE(Quant__c, 0))",30,,Quote Line,,0,,,,a0a5E000004m1a2QAA
EUR,a0c5E0000020LYYQA2,SearchSLPMarginQuantity__c,"IF (BLANKVALUE(SBQQ__Quantity__c, 0) = BLANKVALUE(Quant__c, 0) , BLANKVALUE(Quant__c, 1), BLANKVALUE(SBQQ__Quantity__c,1))",30,,Quote Line,,0,,,,a0a5E000004m1a3QAA
EUR,a0c5E0000020LYRQA2,SalesListPriceCostVal1__c,,30,,Quote Line,,0,,,,a0a5E000004m1a4QAA
EUR,a0c5E0000020LYiQAM,SetContracted__c,SetContracted__c,30,,Quote Line,,0,,,,a0a5E000004m1a5QAA
EUR,a0c5E0000020LYSQA2,SalesListPriceCostVal1__c,,30,TotCost__c,Quote Line,,0,,,,a0a5E000004m1a6QAA
EUR,a0c5E0000020LYDQA2,TF_NetListPrice__c,,30,,Quote Line,,0,,,,a0a5E000004m1a7QAA
EUR,a0c5E0000020LYUQA2,SalesListPriceCostVal1__c,,30,TotCost__c,Quote Line,,0,,,,a0a5E000004m1a8QAA
EUR,a0c5E0000020LYKQA2,TF_PreviousPrice__c,null,30,,Quote Line,,,,,,a0a5E000004m1a9QAA
EUR,a0c5E0000020LYXQA2,SalesListPriceCostVal1__c,,30,TotCost__c,Quote Line,,,,,,a0a5E000004m1aAQAQ
EUR,a0c5E0000020LYWQA2,SalesListPriceCostVal1__c,,30,TotCost__c,Quote Line,,,,,,a0a5E000004m1aBQAQ
EUR,a0c5E0000020LYVQA2,SalesListPriceCostVal1__c,,30,TotCost__c,Quote Line,,,,,,a0a5E000004m1aCQAQ
EUR,a0c5E0000020LYgQAM,TF_RecordChanged__c,"IF(TF_ApprovalNeeded__c = false, false, IF((PricingSystem__c <> TF_PricingSystem__c && PricePerUOM__c <> 0) || (TF_PricePerUOMChange__c <> 0 && PricePerUOM__c <> 0) || (TF_MarkUp1Change__c <> 0 && PricePerUOM__c <> 0), true, false))",30,,Quote Line,,,,,,a0a5E000004m1aDQAQ
EUR,a0c5E0000020LYUQA2,SalesListPriceRounding__c,,35,Rounding__c,Quote Line,,,,,,a0a5E000004m1aEQAQ
EUR,a0c5E0000020LYVQA2,SalesListPriceRounding__c,,35,Rounding__c,Quote Line,,0,,,,a0a5E000004m1aFQAQ
EUR,a0c5E0000020LYWQA2,SalesListPriceRounding__c,,35,Rounding__c,Quote Line,,0,,,,a0a5E000004m1aGQAQ
EUR,a0c5E0000020LYZQA2,SBQQ__Quantity__c,"IF (BLANKVALUE(SearchSLPMarginQuantity__c, 0) = BLANKVALUE(SalesListPriceLower__c, 0), BLANKVALUE(SalesListPriceLower__c, 1), BLANKVALUE(SBQQ__Quantity__c, 0))",35,,Quote Line,,0,,,,a0a5E000004m1aHQAQ
EUR,a0c5E0000020LYXQA2,SalesListPriceRounding__c,,35,Rounding__c,Quote Line,,0,,,,a0a5E000004m1aIQAQ
EUR,a0c5E0000020LYKQA2,TF_PreviousDateFrom__c,null,40,,Quote Line,,,,,,a0a5E000004m1aJQAQ
EUR,a0c5E0000020LYWQA2,SLPUOM__c,,40,BaseUOM__c,Quote Line,,0,,,,a0a5E000004m1aKQAQ
EUR,a0c5E0000020LYVQA2,SLPUOM__c,,40,BaseUOM__c,Quote Line,,0,,,,a0a5E000004m1aLQAQ
EUR,a0c5E0000020LYQQA2,MarkUp1__c,"if (BLANKVALUE(TargetPrice__c,0) = 0 
,

if (BLANKVALUE(MarkUp1__c, 0) = 0, null, if(BLANKVALUE(TF_NetListPrice__c,0) = 0, null, MarkUp1__c), MarkUp1__c) 
,


0 - 
(((((BLANKVALUE(TF_NetListPrice__c,0)+ BLANKVALUE(TotalCost__c ,0))  /
BLANKVALUE(UOMconversion__c,1))

/ TargetPrice__c) - 1 ) * 1)

)",40,,Quote Line,,,,,,a0a5E000004m1aMQAQ
EUR,a0c5E0000020LYSQA2,SalesListPriceLower__c,,40,TF_Marginlower__c,Quote Line,,,,,,a0a5E000004m1aNQAQ
EUR,a0c5E0000020LYRQA2,SalesListPriceCostVal2__c,,40,,Quote Line,,0,,,,a0a5E000004m1aOQAQ
EUR,a0c5E0000020LYSQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "": Default""",40,,Quote Line,,0,,,,a0a5E000004m1aPQAQ
EUR,a0c5E0000020LYPQA2,BOType__c,,40,Type,Quote Line,,0,,,,a0a5E000004m1aQQAQ
EUR,a0c5E0000020LYUQA2,SLPUOM__c,,40,BaseUOM__c,Quote Line,,0,,,,a0a5E000004m1aRQAQ
EUR,a0c5E0000020LYXQA2,SLPUOM__c,,40,BaseUOM__c,Quote Line,,0,,,,a0a5E000004m1aSQAQ
EUR,a0c5E0000020LYUQA2,PricingSystem__c,,42,,Quote Line,,Parent,,,,a0a5E000004m1aTQAQ
EUR,a0c5E0000020LYWQA2,PricingSystem__c,,45,,Quote Line,,Parent,,,,a0a5E000004m1aUQAQ
EUR,a0c5E0000020LYUQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "": ParentDefault""",45,,Quote Line,,Parent,,,,a0a5E000004m1aVQAQ
EUR,a0c5E0000020LYVQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "": ParentNoUOM"" + Quant__c + SBQQ__Quantity__c + SalesListPrice__c",45,,Quote Line,,Parent,,,,a0a5E000004m1aWQAQ
EUR,a0c5E0000020LYRQA2,ManualPurchasePrice__c,"IF(BLANKVALUE(PricingSystem__c, 'Manual') != 'Manual', NULL, ManualPurchasePrice__c)",70,,Quote Line,,,,,,a0a5E000004m1aXQAQ
EUR,a0c5E0000020LYSQA2,SLPUOM__c,,70,BaseUOM__c,Quote Line,,,,,,a0a5E000004m1aYQAQ
EUR,a0c5E0000020LYTQA2,SLPUOM__c,,70,BaseUOM__c,Quote Line,,,,,,a0a5E000004m1aZQAQ
EUR,a0c5E0000020LYPQA2,Application__c,,70,Application__c,Quote Line,,,,,,a0a5E000004m1aaQAA
EUR,a0c5E0000020LYQQA2,TargetPrice__c,"if (BLANKVALUE ( TF_NetListPrice__c,0 ) != 0 ||
BLANKVALUE ( TotalCost__c,0 ) != 0
, TargetPrice__c, 0)",35,,Quote Line,,,,,,a0a5E000004m1abQAA
EUR,a0c5E0000020LYRQA2,WarehousingCosts__c,"IF(BLANKVALUE(PricingSystem__c, 'Manual') != 'Manual', NULL, WarehousingCosts__c)",71,,Quote Line,,,,,,a0a5E000004m1acQAA
EUR,a0c5E0000020LYRQA2,OutboundCosts__c,"IF(BLANKVALUE(PricingSystem__c, 'Manual') != 'Manual', NULL, OutboundCosts__c)",72,,Quote Line,,,,,,a0a5E000004m1adQAA
EUR,a0c5E0000020LYRQA2,Surcharge__c,"IF(BLANKVALUE(PricingSystem__c, 'Manual') != 'Manual', NULL, Surcharge__c)",73,,Quote Line,,,,,,a0a5E000004m1aeQAA
EUR,a0c5E0000020LYRQA2,Duties__c,"IF(BLANKVALUE(PricingSystem__c, 'Manual') != 'Manual', NULL, Duties__c)",74,,Quote Line,,,,,,a0a5E000004m1afQAA
EUR,a0c5E0000020LYPQA2,KeyOpportunity__c,,80,Key_Opportunity__c,Quote Line,,,,,,a0a5E000004m1agQAA
EUR,a0c5E0000020LYOQA2,TF_Stage__c,,80,StageName,Quote Line,,,,,,a0a5E000004m1ahQAA
EUR,a0c5E0000020LYdQAM,GrossMargin__c,"BLANKVALUE(SBQQ__Quantity__c, 0) *
BLANKVALUE(TF_MarkedupAmount__c, 0)",80,,Quote Line,,,,,,a0a5E000004m1aiQAA
EUR,a0c5E0000020LYQQA2,GrossMargin__c,"BLANKVALUE(SBQQ__Quantity__c, 0) *
BLANKVALUE(TF_MarkedupAmount__c, 0)",80,,Quote Line,,,,,,a0a5E000004m1ajQAA
EUR,a0c5E0000020LYRQA2,SLPUOM__c,,80,,Quote Line,,,,,,a0a5E000004m1akQAA
EUR,a0c5E0000020LYDQA2,FuelSurcharge__c,"BLANKVALUE(FuelSurcharge__c, 'No')",80,,Quote Line,,,,,,a0a5E000004m1alQAA
EUR,a0c5E0000020LYDQA2,CurrencySurcharge__c,"BLANKVALUE(CurrencySurcharge__c, 'No')",85,,Quote Line,,,,,,a0a5E000004m1amQAA
EUR,a0c5E0000020LYOQA2,Stage__c,"if (Stage__c = 'Lost', Stage__c, TF_Stage__c)",85,,Quote Line,,,,,,a0a5E000004m1anQAA
EUR,a0c5E0000020LYDQA2,TF_PreviousUOM__c,SalesListPriceUom__c,90,,Quote Line,,,,,,a0a5E000004m1aoQAA
EUR,a0c5E0000020LYQQA2,SetContracted__c,SetContracted__c,90,,Quote Line,,,,,,a0a5E000004m1apQAA
EUR,a0c5E0000020LYdQAM,PricingSystem__c,"IF (ISNULL(Id) && ISNULL(SalesListPrice__c) , 'Manual', BLANKVALUE(PricingSystem__c, ''))",95,,Quote Line,,,,,,a0a5E000004m1aqQAA
EUR,a0c5E0000020LYWQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "": Parent"" + Quant__c + SBQQ__Quantity__c + SalesListPrice__c",99,,Quote Line,,,,,,a0a5E000004m1arQAA
EUR,a0c5E0000020LYNQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "":PPrice""",99,,Quote Line,,null,,,,a0a5E000004m1asQAA
EUR,a0c5E0000020LYYQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "":Conv"" + TEXT(UOM__c) + TEXT(SLPUOM__c) + SBQQ__Quantity__c + Quant__c + UOMconversion__c",99,,Quote Line,,null,,,,a0a5E000004m1atQAA
EUR,a0c5E0000020LYTQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "": Exact"" + Quant__c + SBQQ__Quantity__c",99,,Quote Line,,null,,,,a0a5E000004m1auQAA
EUR,a0c5E0000020LYRQA2,SalesListPriceLog__c,SalesListPriceLog__c + ': Reset',99,,Quote Line,,,,,,a0a5E000004m1avQAA
EUR,a0c5E0000020LYdQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": Post"" + SBQQ__Quantity__c + SalesListPrice__c",99,,Quote Line,,,,,,a0a5E000004m1awQAA
EUR,a0c5E0000020LYbQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": CostDef""",99,,Quote Line,,,,,,a0a5E000004m1axQAA
EUR,a0c5E0000020LYEQA2,SalesListPriceLog__c,"SalesListPriceLog__c + ""Init2:""+ BLANKVALUE(PricingSystem__c, 'no' )",99,,Quote Line,,,,,,a0a5E000004m1ayQAA
EUR,a0c5E0000020LYcQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": CostExact""",99,,Quote Line,,,,,,a0a5E000004m1azQAA
EUR,a0c5E0000020LYDQA2,SalesListPriceLog__c,"SalesListPriceLog__c + ""Init1a:"" + UOM__c + StartUOM__c",99,,Quote Line,,,,,,a0a5E000004m1b0QAA
EUR,a0c5E0000020LYXQA2,SalesListPriceLog__c,"SalesListPriceLog__c + "": SLPC2""",99,,Quote Line,,,,,,a0a5E000004m1b1QAA
EUR,a0c5E0000020LYgQAM,SalesListPriceLog__c,"SalesListPriceLog__c + "": Appr2"" + TF_PricePerUOMChange__c + TF_MarkUp1Change__c + TF_ApprovalNeeded__c + TF_RecordChanged__c",99,,Quote Line,,,,,,a0a5E000004m1b2QAA
EUR,a0c5E0000020LYgQAM,TF_MarkUp1Change__c,"IF(PricingSystem__c <> 'Manual', 0, IF(MarkUp1__c <> 0, ((MarkUp1__c / TF_MarkUp1__c) * 100 - 100), 0))",15,,Quote Line,,,,,,a0a5E000004m1b3QAA
